Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_020_01.json,0.122146,0.512991,8,0
base\CLASS05_020_01.json,0.277015,0.514567,8,1
base\CLASS05_020_01.json,0.189415,0.513908,8,2
base\CLASS05_020_01.json,0.429189,0.514194,8,3
base\CLASS05_020_01.json,0.30424,0.508707,8,4
base\CLASS05_020_01.json,0.412195,0.51344,8,5
base\CLASS05_020_01.json,0.194556,0.511559,8,6
base\CLASS05_020_01.json,0.248144,0.514567,8,7
base\CLASS05_020_01.json,0.260663,0.508677,8,8
base\CLASS05_020_01.json,0.222056,0.492331,8,9
base\CLASS05_020_01.json,0.309298,0.515046,8,10
base\CLASS05_020_01.json,0.229386,0.493351,8,11
base\CLASS05_020_01.json,0.42591,0.514345,8,12
base\CLASS05_020_01.json,0.193115,0.516659,8,13
base\CLASS05_020_01.json,0.109548,0.556629,7,14
base\CLASS05_020_01.json,0.140592,0.515494,8,15
base\CLASS05_020_01.json,0.209871,0.510122,8,16
base\CLASS05_020_01.json,0.255972,0.513881,8,17
base\CLASS05_020_01.json,0.2912,0.510776,8,18
base\CLASS05_020_01.json,0.256852,0.513881,8,19
base\CLASS05_020_01.json,0.191958,0.51522,8,20
base\CLASS05_020_01.json,0.39814,0.514981,8,21
base\CLASS05_020_01.json,0.114757,0.509793,8,22
base\CLASS05_020_01.json,0.221164,0.513605,8,23
base\CLASS05_020_01.json,0.329368,0.508677,8,24
base\CLASS05_020_01.json,0.262367,0.512978,8,25
base\CLASS05_020_01.json,0.197675,0.510121,8,26
base\CLASS05_020_01.json,0.247842,0.512006,8,27
base\CLASS05_020_01.json,0.176557,0.5153,7,28
base\CLASS05_020_01.json,0.334596,0.512377,8,29
base\CLASS05_020_03.json,0.129166,0.51788,8,0
base\CLASS05_020_03.json,0.216855,0.52255,8,1
base\CLASS05_020_03.json,0.173843,0.634851,7,2
base\CLASS05_020_03.json,0.22834,0.63049,7,3
