Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,0
Tempo Decorrido (segundos),9.51866
Porcentagem De Utilizacao,0.8872
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,0
Tempo Decorrido (segundos),9.20613
Porcentagem De Utilizacao,0.881943
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,0
Tempo Decorrido (segundos),9.22287
Porcentagem De Utilizacao,0.883171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,3
MaxIteration,0
Tempo Decorrido (segundos),9.18488
Porcentagem De Utilizacao,0.882171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,4
MaxIteration,0
Tempo Decorrido (segundos),9.13604
Porcentagem De Utilizacao,0.883086
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,5
MaxIteration,0
Tempo Decorrido (segundos),9.24941
Porcentagem De Utilizacao,0.883229
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,6
MaxIteration,0
Tempo Decorrido (segundos),9.2239
Porcentagem De Utilizacao,0.884429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,7
MaxIteration,0
Tempo Decorrido (segundos),9.19032
Porcentagem De Utilizacao,0.883171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,8
MaxIteration,0
Tempo Decorrido (segundos),9.21362
Porcentagem De Utilizacao,0.882029
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,9
MaxIteration,0
Tempo Decorrido (segundos),9.29233
Porcentagem De Utilizacao,0.883086
Quantidade de Recipientes,7
