Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,0
Tempo Decorrido (segundos),1.91E-05
Porcentagem De Utilizacao,0.8794
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,1
Tempo Decorrido (segundos),0.0970116
Porcentagem De Utilizacao,0.879514
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,2
Tempo Decorrido (segundos),0.194054
Porcentagem De Utilizacao,0.881857
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,3
Tempo Decorrido (segundos),0.262985
Porcentagem De Utilizacao,0.879429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,0
MaxIteration,4
Tempo Decorrido (segundos),0.30113
Porcentagem De Utilizacao,0.881857
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,0
Tempo Decorrido (segundos),2.16E-05
Porcentagem De Utilizacao,0.875057
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,1
Tempo Decorrido (segundos),0.0759034
Porcentagem De Utilizacao,0.8794
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,2
Tempo Decorrido (segundos),0.160853
Porcentagem De Utilizacao,0.879629
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,3
Tempo Decorrido (segundos),0.22829
Porcentagem De Utilizacao,0.8818
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,1
MaxIteration,4
Tempo Decorrido (segundos),0.307188
Porcentagem De Utilizacao,0.881771
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,0
Tempo Decorrido (segundos),1.98E-05
Porcentagem De Utilizacao,0.879629
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,1
Tempo Decorrido (segundos),0.0784268
Porcentagem De Utilizacao,0.879314
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,2
Tempo Decorrido (segundos),0.151391
Porcentagem De Utilizacao,0.883114
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,3
Tempo Decorrido (segundos),0.225067
Porcentagem De Utilizacao,0.8818
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,2
MaxIteration,4
Tempo Decorrido (segundos),0.307442
Porcentagem De Utilizacao,0.881914
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,3
MaxIteration,0
Tempo Decorrido (segundos),2.16E-05
Porcentagem De Utilizacao,0.872886
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,3
MaxIteration,1
Tempo Decorrido (segundos),0.0757493
Porcentagem De Utilizacao,0.879371
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_01.json
Execucao,3
MaxIteration,2
Tempo Decorrido (segundos),0.157965
Porcentagem De Utilizacao,0.880543
