Instancia,Tempo(ms),UtilizacaoReal,UtilizacaoGardeynWauters,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
MB_C10_42,26873,0.9873864176668642,0.9936529950811938,19,35,5,80
MB_C4_14,1746,0.787812845,0.8793500000000001,2,35,5,80
MB_C4_13,8887,0.943022845,0.97065,3,35,5,80
MB_C4_12,2998,0.8979886883235659,0.9460995353852497,3,35,5,80
MB_C4_11,567,0.9688928183541314,0.9841966637401229,1,35,5,80
MB_C4_02,134,0.7450227400348923,0.8631469979296066,1,35,5,80
MB_C4_01,1007,0.7149467556974888,0.8278313253012048,1,35,5,80
MB_C3_08,5047,0.9927675303685342,0.9963758856275303,4,35,5,80
MB_C3_36,7451,0.9742798255122882,0.9870033296041357,23,35,5,80
MB_C3_35,11822,0.9729256070576163,0.9862584948594604,20,35,5,80
MB_C3_34,9984,0.9788066301222831,0.989299393335019,21,35,5,80
MB_C3_33,6399,0.9805404178648547,0.9901778060434668,23,35,5,80
MB_C3_28,7282,0.9727270629000914,0.986139770723104,15,35,5,80
MB_C3_27,4837,0.9886250389228018,0.9942647473494247,12,35,5,80
MB_C3_24,4499,0.9795608154624511,0.9896140116829588,16,35,5,80
MB_C5_01,74,0.9647951970104774,0.9821341505246167,8,35,5,80
MB_C4_50,1625,0.9975154947305075,0.9987560875419955,6,35,5,80
MB_C4_49,1536,0.9988141571047748,0.9994066122874001,5,35,5,80
MB_C4_48,3741,0.9978266879964597,0.9989115150256197,5,35,5,80
MB_C4_47,3810,0.9982967609132741,0.9991466058055595,6,35,5,80
MB_C4_46,7015,0.9977148332906853,0.9988563179287562,6,35,5,80
MB_C4_45,18216,0.9950804906585949,0.9975321672834084,6,35,5,80
MB_C4_44,26323,0.9912765239565806,0.9956046096889934,5,35,5,80
MB_C4_27,10658,0.99980003,0.9998999999999999,4,35,5,80
MB_C4_26,11237,0.9945639225029246,0.9972743306076639,3,35,5,80
MB_C4_25,4309,0.9553261314710348,0.9768639741601118,3,35,5,80
MB_C4_24,5675,0.99621083,0.9981,4,35,5,80
MB_C4_19,842,0.9226066597294484,0.9596774193548387,2,35,5,80
MB_C4_18,2036,0.9920672184529276,0.9960159833238016,3,35,5,80
MB_C4_16,3650,0.7568997290012764,0.8583990297149788,3,35,5,80
MB_C3_45,12231,0.973396451784916,0.9865579805780506,30,35,5,80
MB_C3_44,30996,0.9746467804967147,0.9871342945152732,27,35,5,80
MB_C3_07,2828,0.9791824838902216,0.9895153433848286,6,35,5,80
MB_C7_44,13324,0.96688683923106,0.9831020061049368,28,35,5,80
MB_C7_43,14531,0.9757052974540366,0.9876948941859377,26,35,5,80
MB_C5_49,31759,0.9735294233831249,0.9866335604903819,30,35,5,80
MB_C7_44,3888,0.9651809754720723,0.9822945968603635,31,35,5,80
MB_C7_43,11526,0.9739578213188885,0.9867788494149775,27,35,5,80
MB_C7_42,28869,0.9644949662653158,0.9818894820992327,29,35,5,80
MB_C7_41,25456,0.96676137948237,0.9830736187983503,28,35,5,80
MB_C7_34,16544,0.9513293973243709,0.9749851713535184,29,35,5,80
MB_C7_33,8691,0.9681426820716372,0.9838146270750758,24,35,5,80
MB_C7_30,3386,0.9356756977440506,0.9663389513812101,22,35,5,80
MB_C8_11,8839,0.9318791837217373,0.9631301498612466,14,35,5,80
MB_C8_10,936,0.9884738816373024,0.9942055458868733,5,35,5,80
MB_C8_09,3398,0.9691931114112197,0.9844457639165233,7,35,5,80
MB_C8_08,1528,0.9242594209689677,0.9612064454257551,6,35,5,80
MB_C8_07,1456,0.9625659752616096,0.9810592564804741,7,35,5,80
MB_C8_06,5860,0.9741282353704359,0.986950183851908,8,35,5,80
MB_C8_05,4928,0.9754247405384575,0.9875519910442833,6,35,5,80
MB_C8_04,2079,0.991759158,0.9958600000000001,6,35,5,80
MB_C7_11,6814,0.9780332093139854,0.9888597886123992,12,35,5,80
MB_C7_10,1787,0.9708783784036792,0.9852272286821706,5,35,5,80
MB_C7_09,1890,0.9593203284630404,0.979083085204908,9,35,5,80
MB_C7_08,3416,0.9574058860702039,0.9783305339712401,8,35,5,80
MB_C6_43,17235,0.9953009321828158,0.9976401867252457,4,35,5,80
MB_C6_42,9621,0.99626553623478,0.9981282562682324,5,35,5,80
MB_C6_39,9217,0.9971463759633438,0.9985712633031855,5,35,5,80
MB_C5_05,7191,0.9875694910034601,0.9937435294117647,5,35,5,80
MB_C5_04,2095,0.9508170782954308,0.9749001824085385,7,35,5,80
MB_C5_03,2766,0.9721480025657359,0.985932389108476,7,35,5,80
MB_C5_02,10249,0.977517950369576,0.9886804945054944,5,35,5,80
MB_C4_08,189,0.9439348349594447,0.971563088512241,1,35,5,80
MB_C4_07,246,0.8581438578832894,0.9263605442176871,1,35,5,80
MB_C4_06,87,0.9838032799560357,0.9918372252396003,1,35,5,80
MB_C4_05,930,0.750929716168559,0.8665620094191523,1,35,5,80
MB_C2_42,15856,0.9914098408197695,0.9956738663635215,6,35,5,80
MB_C2_41,19352,0.9982261728395063,0.9991111111111112,4,35,5,80
MB_C2_34,6588,0.9227486471193418,0.9570555555555555,6,35,5,80
MB_C7_01,6509,0.9459736721510136,0.9724623447321852,8,35,5,80
MB_C6_50,11082,0.9996194718789395,0.9998097126663502,7,35,5,80
MB_C6_49,15949,0.998751250462694,0.9993752800125874,5,35,5,80
MB_C6_48,17170,0.998575126702757,0.999287003672799,6,35,5,80
MB_C6_42,10494,0.9949866280695515,0.9974804071762554,6,35,5,80
MB_C6_41,5307,0.9964913553642181,0.9982413342355132,5,35,5,80
MB_C6_38,5862,0.998548148922185,0.9992733493350162,5,35,5,80
MB_C9_10,1174,0.9232508016630798,0.96019405304942,10,35,5,80
MB_C9_09,2926,0.7795852673288838,0.8781386323497831,13,35,5,80
MB_C9_08,1888,0.9443786663768038,0.9715133604378283,12,35,5,80
MB_C9_07,874,0.9610924469279641,0.9801591900870971,10,35,5,80
MB_C9_06,4038,0.761794899401864,0.8681087441136878,13,35,5,80
MB_C4_14,1976,0.787812845,0.8793500000000001,2,35,5,80
MB_C4_13,3691,0.943022845,0.97065,2,35,5,80
MB_C4_12,2261,0.8980555724322161,0.9461253032681605,3,35,5,80
MB_C4_11,269,0.9688658396803875,0.9841966637401229,1,35,5,80
MB_C4_10,426,0.830539035467128,0.9066176470588235,1,35,5,80
MB_C4_09,45,0.9190854782022873,0.9586894586894587,1,35,5,80
MB_C4_08,36,0.9439348349594447,0.971563088512241,1,35,5,80
MB_C8_43,5137,0.9662572614182305,0.9827777487927476,29,35,5,80
MB_C8_42,13115,0.9710282976466598,0.9853169415877565,29,35,5,80
MB_C8_41,11614,0.9679224782298423,0.983711662369057,27,35,5,80
MB_C8_40,18597,0.9470036754474529,0.9726113260957445,31,35,5,80
MB_C8_26,27328,0.9667749837492915,0.9831335480663554,19,35,5,80
MB_C8_25,11388,0.9715999841976312,0.9855851040330394,14,35,5,80
MB_C8_21,9446,0.9716658729189664,0.9856152765109286,18,35,5,80
MB_C6_37,3861,0.9969983819174546,0.9984975176105457,6,35,5,80
MB_C6_36,1595,0.9697221855370604,0.9845044920752238,4,35,5,80
MB_C6_35,3076,0.9907540741361007,0.9953346596596597,4,35,5,80
MB_C6_34,5814,0.9854536435729426,0.9926484003343027,3,35,5,80
MB_C6_33,5225,0.998315875041192,0.9991570420040284,4,35,5,80
MB_C6_32,5614,0.9890310701190613,0.9944667368773652,4,35,5,80
MB_C6_31,10286,0.9894860148907845,0.9947007737383244,4,35,5,80
MB_C6_30,10579,0.9985282249477839,0.9992636375284523,4,35,5,80
MB_C6_29,6156,0.9952156442045468,0.9976021152312241,4,35,5,80
MB_C6_28,4718,0.9813950351168067,0.990564889372255,4,35,5,80
MB_C6_27,8597,0.9982837524363004,0.9991411629245827,4,35,5,80
MB_C6_26,6230,0.9563186455315559,0.9776620313241575,3,35,5,80
MB_C6_15,3982,0.991846514647757,0.9959031179602862,3,35,5,80
MB_C6_14,2079,0.9750114760109048,0.9873459849219803,3,35,5,80
MB_C6_13,1592,0.9524072544916342,0.9756092435637348,3,35,5,80
MB_C6_12,1788,0.9807821186419754,0.9903444444444445,1,35,5,80
MB_C6_11,163,0.5966532544444444,0.7724333333333333,1,35,5,80
MB_C6_10,86,0.771965347855394,0.8786155859392627,1,35,5,80
MB_C6_09,620,0.8809704083753858,0.9365425332356653,1,35,5,80
MB_C6_08,95,0.9035491654392944,0.9505520319473808,1,35,5,80
