Instancia,Tempo(ms),Utilizacao,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
CLASS04_100_09,10979,0.7555900125,4,35,5,80
CLASS04_100_08,20633,0.77930944,4,35,5,80
CLASS04_020_08,1667,0.26615281,1,35,5,80
CLASS08_040_09,5674,0.93540173875,8,35,5,80
CLASS08_040_08,5218,0.888866503,10,35,5,80
CLASS08_040_07,5854,0.970580518888889,10,35,5,80
CLASS04_080_04,20078,0.79184128,3,35,5,80
CLASS04_080_03,6349,0.7444296666666667,3,35,5,80
CLASS04_060_08,3661,0.66722343,3,35,5,80
CLASS07_100_05,5512,0.9636277590909093,22,35,5,80
CLASS07_100_04,11295,0.9640501760869564,24,35,5,80
CLASS07_100_03,15561,0.978335489047619,22,35,5,80
CLASS07_100_02,15741,0.9488737379166667,25,35,5,80
CLASS07_080_04,13469,0.9497417810526315,20,35,5,80
CLASS07_080_03,4807,0.9706259244444446,19,35,5,80
CLASS07_060_09,16061,0.959921763846154,13,35,5,80
CLASS06_100_07,19374,0.7742679216872429,3,35,5,80
CLASS06_100_06,18011,0.7621907580555555,4,35,5,80
CLASS06_080_09,11419,0.7891581368312757,3,35,5,80
CLASS04_080_08,13293,0.92850923,3,35,5,80
CLASS04_080_07,19030,0.93889123,3,35,5,80
CLASS04_080_06,6174,0.8523709866666667,3,35,5,80
CLASS04_080_05,8067,0.74860588,3,35,5,80
CLASS04_060_07,2982,0.676239845,2,35,5,80
CLASS04_060_06,5274,0.7966810449999999,2,35,5,80
CLASS04_040_06,7025,0.50668168,2,35,5,80
CLASS06_080_05,12669,0.6774345773662551,3,35,5,80
CLASS06_080_04,6098,0.6913117720987655,3,35,5,80
CLASS06_080_03,8144,0.6761286944032922,3,35,5,80
CLASS06_080_02,10594,0.6843836109053498,3,35,5,80
CLASS06_080_01,5430,0.6709845063786007,3,35,5,80
CLASS06_060_10,4793,0.6669772105349795,3,35,5,80
CLASS06_060_09,2039,0.6877483024691358,2,35,5,80
CLASS06_060_08,2334,0.8119534519135803,2,35,5,80
CLASS06_060_02,3654,0.6814696543209877,2,35,5,80
CLASS06_060_01,3026,0.9016071358024691,2,35,5,80
CLASS06_040_10,1109,0.8820966400000001,1,35,5,80
CLASS06_040_09,595,0.8706963456790123,1,35,5,80
CLASS06_040_08,1151,0.5756605,2,35,5,80
CLASS06_040_07,345,0.4998265839506173,2,35,5,80
CLASS05_100_07,11188,0.9457377670833331,25,35,5,80
CLASS10_080_03,10243,0.9087193827272728,11,35,5,80
CLASS10_080_02,26061,0.9605607180000002,11,35,5,80
CLASS10_060_03,10913,0.9108139063636365,12,35,5,80
CLASS02_100_09,8215,0.7752456790123456,4,35,5,80
CLASS02_100_08,12221,0.804704012345679,4,35,5,80
CLASS02_100_07,12455,0.7504225308641975,4,35,5,80
CLASS02_100_06,13005,0.8918777777777778,4,35,5,80
CLASS02_080_10,3914,0.8279325102880658,3,35,5,80
CLASS02_080_09,7810,0.7523361111111111,4,35,5,80
CLASS02_080_03,7926,0.7687259259259259,3,35,5,80
CLASS10_020_01,179,0.7334329316666667,6,35,5,80
CLASS09_100_10,3134,0.8264922787037035,59,35,5,80
CLASS09_100_09,3963,0.8677007534042553,49,35,5,80
CLASS09_100_08,6119,0.8805140695999998,54,35,5,80
CLASS09_100_07,12705,0.9010109847727272,47,35,5,80
CLASS09_100_06,16115,0.8855701904081633,53,35,5,80
CLASS04_040_04,3308,0.55043488,2,35,5,80
CLASS04_040_03,6115,0.60251392,2,35,5,80
CLASS04_040_02,1978,0.5098,2,35,5,80
CLASS03_080_01,12653,0.9326825439453125,16,35,5,80
CLASS03_060_10,10458,0.9476130208333333,16,35,5,80
CLASS03_060_06,6073,0.9091945638020835,12,35,5,80
CLASS01_080_07,8816,0.9717111111111111,28,35,5,80
CLASS01_080_06,10758,0.9499653846153847,28,35,5,80
CLASS01_080_05,15805,0.9630499999999999,25,35,5,80
CLASS01_080_04,18245,0.9571200000000001,26,35,5,80
CLASS10_100_07,10176,0.9788666784615384,13,35,5,80
CLASS10_100_06,9210,0.9226568084615383,13,35,5,80
CLASS10_100_03,7846,0.9916289846666668,16,35,5,80
CLASS08_020_09,753,0.9731447780000002,6,35,5,80
CLASS08_020_08,9664,0.80140065,5,35,5,80
CLASS07_080_09,19068,0.9747226609999998,21,35,5,80
CLASS09_060_03,16175,0.7814833105882355,36,35,5,80
CLASS09_060_02,11138,0.8546568693749999,33,35,5,80
CLASS09_040_08,8762,0.8196062854999999,22,35,5,80
CLASS05_060_01,26075,0.9261264699999998,19,35,5,80
CLASS05_040_10,8626,0.9056092222222222,9,35,5,80
CLASS05_040_09,5225,0.9007622844444444,9,35,5,80
CLASS09_060_10,10491,0.8309730712499998,34,35,5,80
CLASS09_060_09,13101,0.8794218389655172,30,35,5,80
CLASS09_060_08,11290,0.8293403977419354,34,35,5,80
CLASS09_060_07,14897,0.9084180488461538,28,35,5,80
CLASS09_040_05,5358,0.8727983077777779,19,35,5,80
CLASS09_040_04,13435,0.8816994934999999,21,35,5,80
CLASS09_040_01,4325,0.9124935182352942,18,35,5,80
CLASS08_040_01,11702,0.9213077890000001,10,35,5,80
CLASS08_020_10,927,0.7509487699999999,4,35,5,80
CLASS04_100_04,12378,0.7506416925,4,35,5,80
CLASS05_060_03,14650,0.94160349375,16,35,5,80
CLASS05_060_02,11465,0.9383377266666668,16,35,5,80
CLASS05_060_01,13156,0.9284816455555556,19,35,5,80
CLASS05_040_10,10458,0.9054867155555555,9,35,5,80
CLASS05_040_06,1829,0.9547089655555554,11,35,5,80
CLASS05_040_05,5222,0.8929990730769231,13,35,5,80
CLASS05_020_06,3504,0.8216754771428573,8,35,5,80
CLASS03_080_08,15884,0.9333430715460524,19,35,5,80
CLASS03_080_07,9599,0.9376380962171053,19,35,5,80
CLASS03_080_06,9115,0.9367846788194445,18,35,5,80
CLASS03_080_05,6607,0.95600517578125,16,35,5,80
CLASS03_060_08,8288,0.9686778545673077,14,35,5,80
CLASS03_060_07,9368,0.9921786328125,11,35,5,80
CLASS03_060_04,2311,0.9237860877403846,14,35,5,80
CLASS03_080_06,13286,0.9354582899305554,18,35,5,80
CLASS03_080_05,11002,0.9571556640625001,16,35,5,80
CLASS03_060_07,15914,0.9921914453125001,11,35,5,80
CLASS10_060_02,9189,0.9815904872727274,12,35,5,80
CLASS10_060_01,11297,0.9150236109090908,12,35,5,80
CLASS10_040_10,6378,0.8735231875000001,8,35,5,80
CLASS10_040_09,4878,0.9394063585714287,7,35,5,80
CLASS10_040_08,3250,0.8537503142857142,7,35,5,80
CLASS10_040_07,7793,0.8544775428571428,7,35,5,80
CLASS10_040_06,4621,0.985035398,6,35,5,80
CLASS10_040_05,2979,0.8311194533333334,6,35,5,80
CLASS10_020_09,1519,0.825102964,5,35,5,80
CLASS10_020_08,482,0.94311698,3,35,5,80
CLASS10_020_07,1559,0.966100915,5,35,5,80
CLASS10_020_06,2707,0.7426092725,4,35,5,80
CLASS10_020_05,288,0.755590855,4,35,5,80
CLASS10_020_04,257,0.7863686925,4,35,5,80
CLASS10_020_02,1234,0.7090698433333333,3,35,5,80
CLASS09_080_03,10905,0.8651221781578946,39,35,5,80
CLASS09_080_02,38435,0.9036991942105262,42,35,5,80
CLASS09_080_01,9898,0.9039277805405408,39,35,5,80
CLASS07_080_06,15311,0.9380480845000001,20,35,5,80
CLASS07_080_05,25682,0.9672908360000003,21,35,5,80
CLASS07_060_10,7548,0.924712634117647,18,35,5,80
CLASS09_100_03,3340,0.9093235311363635,46,35,5,80
CLASS09_100_02,13856,0.8888631004347826,49,35,5,80
CLASS09_100_01,8487,0.7905788767307695,55,35,5,80
CLASS09_080_10,20974,0.8368310869767442,46,35,5,80
CLASS02_100_02,17768,0.785679012345679,4,35,5,80
CLASS02_100_01,14877,0.7503361111111111,4,35,5,80
CLASS02_080_04,8010,0.8341744855967078,3,35,5,80
CLASS05_020_03,965,0.874422645,7,35,5,80
CLASS05_020_02,762,0.7627510925000001,4,35,5,80
CLASS05_020_01,1904,0.8494847766666668,6,35,5,80
CLASS04_100_10,10429,0.87916836,4,35,5,80
CLASS04_100_09,14827,0.7555475275,4,35,5,80
CLASS04_100_08,8405,0.779276565,4,35,5,80
CLASS04_100_07,11777,0.96402675,4,35,5,80
CLASS04_100_06,7056,0.8642616125,4,35,5,80
CLASS04_080_01,9487,0.7270734966666667,3,35,5,80
CLASS04_060_10,1241,0.7028347866666667,3,35,5,80
CLASS04_060_09,2371,0.862185605,2,35,5,80
