Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_020_01.json,0.0807877,0.8794,7,0
base\CLASS01_020_01.json,0.0918576,0.879343,7,1
base\CLASS01_020_01.json,0.0662161,0.874943,7,2
base\CLASS01_020_01.json,0.0798452,0.879343,7,3
base\CLASS01_020_01.json,0.0792123,0.879314,7,4
base\CLASS01_020_01.json,0.0704772,0.878571,7,5
base\CLASS01_020_01.json,0.0893597,0.879429,7,6
base\CLASS01_020_01.json,0.0859316,0.8818,7,7
base\CLASS01_020_01.json,0.0887584,0.875057,7,8
base\CLASS01_020_01.json,0.0683242,0.879314,7,9
base\CLASS01_020_01.json,0.0947497,0.876229,7,10
base\CLASS01_020_01.json,0.0780226,0.874943,7,11
base\CLASS01_020_01.json,0.0716769,0.867971,7,12
base\CLASS01_020_01.json,0.0978863,0.879514,7,13
base\CLASS01_020_01.json,0.0711096,0.874714,7,14
base\CLASS01_020_01.json,0.0655649,0.874943,7,15
base\CLASS01_020_01.json,0.0642737,0.8818,7,16
base\CLASS01_020_01.json,0.0628597,0.879343,7,17
base\CLASS01_020_01.json,0.0615915,0.870971,7,18
base\CLASS01_020_01.json,0.0632386,0.8748,7,19
base\CLASS01_020_01.json,0.0620319,0.874886,7,20
base\CLASS01_020_01.json,0.0623237,0.879514,7,21
base\CLASS01_020_01.json,0.0629417,0.875171,7,22
base\CLASS01_020_01.json,0.067695,0.879314,7,23
base\CLASS01_020_01.json,0.0650301,0.879629,7,24
base\CLASS01_020_01.json,0.0626405,0.8818,7,25
base\CLASS01_020_01.json,0.063419,0.875857,7,26
base\CLASS01_020_01.json,0.0658948,0.879314,7,27
base\CLASS01_020_01.json,0.0638398,0.879629,7,28
base\CLASS01_020_01.json,0.0666014,0.875229,7,29
base\CLASS01_020_03.json,0.0671428,0.873457,7,0
base\CLASS01_020_03.json,0.0594797,0.871571,7,1
base\CLASS01_020_03.json,0.0637867,0.871371,7,2
base\CLASS01_020_03.json,0.0615618,0.873571,7,3
base\CLASS01_020_03.json,0.0664615,0.871714,7,4
base\CLASS01_020_03.json,0.0619698,0.875286,7,5
base\CLASS01_020_03.json,0.0649998,0.872029,7,6
base\CLASS01_020_03.json,0.0656536,0.873571,7,7
base\CLASS01_020_03.json,0.0653279,0.880343,7,8
base\CLASS01_020_03.json,0.0659558,0.873829,7,9
base\CLASS01_020_03.json,0.0665855,0.8708,7,10
base\CLASS01_020_03.json,0.0718559,0.872886,7,11
base\CLASS01_020_03.json,0.0764314,0.877314,7,12
base\CLASS01_020_03.json,0.0674087,0.8746,7,13
base\CLASS01_020_03.json,0.0784168,0.871514,7,14
base\CLASS01_020_03.json,0.0711705,0.878343,7,15
base\CLASS01_020_03.json,0.0671869,0.8712,7,16
base\CLASS01_020_03.json,0.0716973,0.880343,7,17
base\CLASS01_020_03.json,0.0676338,0.872286,7,18
base\CLASS01_020_03.json,0.0693612,0.881457,7,19
base\CLASS01_020_03.json,0.0672666,0.876,7,20
base\CLASS01_020_03.json,0.0676487,0.870429,7,21
base\CLASS01_020_03.json,0.0713038,0.875714,7,22
base\CLASS01_020_03.json,0.0637672,0.880429,7,23
base\CLASS01_020_03.json,0.0680503,0.871143,7,24
base\CLASS01_020_03.json,0.0675312,0.871229,7,25
base\CLASS01_020_03.json,0.062999,0.873914,7,26
base\CLASS01_020_03.json,0.0680142,0.873057,7,27
base\CLASS01_020_03.json,0.0662008,0.878229,7,28
base\CLASS01_020_03.json,0.0643707,0.877229,7,29
base\CLASS01_020_05.json,0.0482279,0.836733,6,0
base\CLASS01_020_05.json,0.0544164,0.8422,6,1
base\CLASS01_020_05.json,0.0545571,0.840233,6,2
base\CLASS01_020_05.json,0.0518224,0.8402,6,3
base\CLASS01_020_05.json,0.0512157,0.840233,6,4
base\CLASS01_020_05.json,0.0671137,0.8402,6,5
base\CLASS01_020_05.json,0.0527117,0.846233,6,6
base\CLASS01_020_05.json,0.0556464,0.8402,6,7
base\CLASS01_020_05.json,0.0522189,0.840233,6,8
base\CLASS01_020_05.json,0.0515166,0.8349,6,9
base\CLASS01_020_05.json,0.0572655,0.840233,6,10
base\CLASS01_020_05.json,0.0515982,0.840233,6,11
