Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_020_01.json,0.0908931,0.7182,8,0
base\CLASS01_020_01.json,0.176283,0.7182,8,1
base\CLASS01_020_01.json,0.0823993,0.6846,8,2
base\CLASS01_020_01.json,0.12585,0.717,8,3
base\CLASS01_020_01.json,0.150967,0.717,8,4
base\CLASS01_020_01.json,0.120967,0.7182,8,5
base\CLASS01_020_01.json,0.154964,0.683375,8,6
base\CLASS01_020_01.json,0.0833869,0.716575,8,7
base\CLASS01_020_01.json,0.233652,0.7182,8,8
base\CLASS01_020_01.json,0.0930807,0.716575,8,9
base\CLASS01_020_01.json,0.133425,0.709075,8,10
base\CLASS01_020_01.json,0.126248,0.7107,8,11
base\CLASS01_020_01.json,0.128805,0.7107,8,12
base\CLASS01_020_01.json,0.0625521,0.6897,8,13
base\CLASS01_020_01.json,0.150676,0.7182,8,14
base\CLASS01_020_01.json,0.155106,0.6858,8,15
base\CLASS01_020_01.json,0.122939,0.7182,8,16
base\CLASS01_020_01.json,0.103966,0.7161,8,17
base\CLASS01_020_01.json,0.111688,0.717,8,18
base\CLASS01_020_01.json,0.120528,0.715225,8,19
base\CLASS01_020_01.json,0.201919,0.716575,8,20
base\CLASS01_020_01.json,0.121738,0.7107,8,21
base\CLASS01_020_01.json,0.0857676,0.688,8,22
base\CLASS01_020_01.json,0.105668,0.7092,8,23
base\CLASS01_020_01.json,0.167764,0.7167,8,24
base\CLASS01_020_01.json,0.101397,0.7182,8,25
base\CLASS01_020_01.json,0.0674699,0.7138,8,26
base\CLASS01_020_01.json,0.107304,0.7158,8,27
base\CLASS01_020_01.json,0.112482,0.7107,8,28
base\CLASS01_020_01.json,0.106753,0.715,8,29
base\CLASS01_020_03.json,0.151124,0.567222,9,0
base\CLASS01_020_03.json,0.11218,0.580222,9,1
base\CLASS01_020_03.json,0.111545,0.579689,9,2
base\CLASS01_020_03.json,0.128018,0.567911,9,3
base\CLASS01_020_03.json,0.082098,0.578489,9,4
base\CLASS01_020_03.json,0.212554,0.580222,9,5
base\CLASS01_020_03.json,0.119362,0.579956,9,6
base\CLASS01_020_03.json,0.217096,0.580489,9,7
base\CLASS01_020_03.json,0.193308,0.574622,9,8
base\CLASS01_020_03.json,0.0876795,0.561756,9,9
base\CLASS01_020_03.json,0.141442,0.580222,9,10
base\CLASS01_020_03.json,0.300791,0.573222,9,11
base\CLASS01_020_03.json,0.23034,0.574222,9,12
base\CLASS01_020_03.json,0.139535,0.580133,9,13
base\CLASS01_020_03.json,0.15415,0.580222,9,14
base\CLASS01_020_03.json,0.251193,0.580489,9,15
base\CLASS01_020_03.json,0.16811,0.580489,9,16
base\CLASS01_020_03.json,0.216669,0.579422,9,17
base\CLASS01_020_03.json,0.1557,0.568067,9,18
base\CLASS01_020_03.json,0.13273,0.580489,9,19
base\CLASS01_020_03.json,0.314814,0.580489,9,20
base\CLASS01_020_03.json,0.15874,0.574622,9,21
base\CLASS01_020_03.json,0.134055,0.574622,9,22
base\CLASS01_020_03.json,0.0729749,0.568867,9,23
base\CLASS01_020_03.json,0.126864,0.574622,9,24
base\CLASS01_020_03.json,0.135613,0.580489,9,25
base\CLASS01_020_03.json,0.113105,0.571467,9,26
base\CLASS01_020_03.json,0.218601,0.5796,9,27
base\CLASS01_020_03.json,0.203578,0.574622,9,28
base\CLASS01_020_03.json,0.177923,0.578533,9,29
base\CLASS01_020_05.json,0.119681,0.8086,6,0
base\CLASS01_020_05.json,0.0971928,0.802367,6,1
base\CLASS01_020_05.json,0.108639,0.661571,7,2
base\CLASS01_020_05.json,0.0802971,0.801933,6,3
base\CLASS01_020_05.json,0.101711,0.800367,6,4
base\CLASS01_020_05.json,0.0639235,0.8085,6,5
base\CLASS01_020_05.json,0.0815829,0.8031,6,6
base\CLASS01_020_05.json,0.0675317,0.8031,6,7
base\CLASS01_020_05.json,0.113546,0.801033,6,8
base\CLASS01_020_05.json,0.0851277,0.802367,6,9
base\CLASS01_020_05.json,0.0939811,0.802367,6,10
base\CLASS01_020_05.json,0.119989,0.808067,6,11
base\CLASS01_020_05.json,0.083696,0.6584,7,12
base\CLASS01_020_05.json,0.10087,0.806867,6,13
base\CLASS01_020_05.json,0.109824,0.801633,6,14
base\CLASS01_020_05.json,0.0747955,0.802367,6,15
base\CLASS01_020_05.json,0.157642,0.808067,6,16
base\CLASS01_020_05.json,0.201624,0.803833,6,17
base\CLASS01_020_05.json,0.125591,0.799333,6,18
base\CLASS01_020_05.json,0.0711744,0.799667,6,19
base\CLASS01_020_05.json,0.198045,0.801567,6,20
base\CLASS01_020_05.json,0.0773132,0.803967,6,21
base\CLASS01_020_05.json,0.0721879,0.657886,7,22
base\CLASS01_020_05.json,0.169373,0.802367,6,23
base\CLASS01_020_05.json,0.0824179,0.802633,6,24
base\CLASS01_020_05.json,0.0853764,0.802733,6,25
base\CLASS01_020_05.json,0.222223,0.804867,6,26
base\CLASS01_020_05.json,0.0851252,0.658571,7,27
base\CLASS01_020_05.json,0.146483,0.804167,6,28
base\CLASS01_020_05.json,0.104464,0.801633,6,29
base\CLASS01_020_07.json,0.0649458,0.792833,6,0
base\CLASS01_020_07.json,0.105988,0.792233,6,1
base\CLASS01_020_07.json,0.0998965,0.791667,6,2
base\CLASS01_020_07.json,0.0658978,0.791967,6,3
base\CLASS01_020_07.json,0.0827957,0.7927,6,4
base\CLASS01_020_07.json,0.184672,0.792067,6,5
base\CLASS01_020_07.json,0.148184,0.790967,6,6
base\CLASS01_020_07.json,0.169064,0.793067,6,7
base\CLASS01_020_07.json,0.158075,0.8025,6,8
base\CLASS01_020_07.json,0.0702453,0.791233,6,9
base\CLASS01_020_07.json,0.218362,0.793067,6,10
base\CLASS01_020_07.json,0.0593288,0.790867,6,11
base\CLASS01_020_07.json,0.0836437,0.791,6,12
base\CLASS01_020_07.json,0.0783911,0.797667,6,13
base\CLASS01_020_07.json,0.0971558,0.791667,6,14
base\CLASS01_020_07.json,0.104133,0.792833,6,15
base\CLASS01_020_07.json,0.0685088,0.7914,6,16
base\CLASS01_020_07.json,0.0963831,0.792767,6,17
base\CLASS01_020_07.json,0.129653,0.792767,6,18
base\CLASS01_020_07.json,0.0910235,0.791567,6,19
